run,lumisection,evt,mu1pt,mu1eta,mu1phi,mu1en,mu2pt,mu2eta,mu2phi,mu2en,mu3pt,mu3eta,mu3phi,mu3en,chi2
283820,741,1307332551,10.7755,1.37413,1.97901,22.6541,9.46026,1.13152,1.90106,16.1912,5.45166,1.25333,2.05888,10.3247,711.745
283820,741,1308217083,14.6919,-0.536407,-1.8452,16.857,4.73639,-0.660743,-1.92541,5.80942,4.58197,-0.360048,-1.65663,4.88333,2991.59
283820,741,1308322274,17.555,-1.6214,-0.0687743,46.1505,4.92112,-1.73915,-0.168539,14.4394,4.5189,-1.45972,-0.00222139,10.2518,385.49
283820,741,1306906172,16.2345,1.80523,-3.02235,50.6988,10.0129,1.82143,-3.07786,31.7534,2.70747,1.6245,-3.00629,7.13885,1.32946
283820,741,1306918965,9.34989,-1.31041,-0.659117,18.5945,3.77587,-1.40373,-0.815005,8.14909,3.58358,-1.19213,-0.258342,6.44715,761.895
283820,741,1308245165,12.7511,-1.22727,-2.76254,23.6217,8.49788,-1.11602,-2.8677,14.3629,2.58484,-1.48068,-3.02946,5.97633,34.6782
283820,741,1308176323,12.3412,-1.33061,1.03119,24.9768,8.07588,-1.41666,0.918542,17.6293,4.72948,-1.96867,0.698926,17.2648,76.2444
283820,741,1307603017,6.44986,-1.27005,-0.539907,12.3902,4.48747,-1.4707,-0.366337,10.2814,3.21976,-1.42867,-0.642457,7.1048,44.7632
283820,741,1307474641,9.15846,-1.3035,-0.317939,18.1054,7.45083,-1.44427,-0.268166,16.6703,4.81027,-1.6512,-0.713499,13.0003,15.8574
283820,741,1307943541,5.76516,2.32476,-2.71739,29.7541,3.65226,1.79651,-2.64769,11.3123,3.15442,2.10154,-2.93021,13.0929,4.62318
283820,742,1308914653,14.6307,-2.30777,1.55364,74.2621,5.82274,-2.01034,1.59046,22.1261,3.30841,-2.07448,1.4436,13.3764,7.97979
283820,742,1310146108,11.9735,-0.946127,1.58854,17.7448,10.1186,-0.885304,1.71136,14.3502,9.60875,-0.930901,1.67594,14.082,13.2992
283820,742,1308899854,14.7954,-0.71529,1.04494,18.7449,6.90425,-0.612974,1.17655,8.24315,6.74546,-0.593123,1.07847,7.96787,18.0397
283820,742,1308602500,19.4245,-2.29207,-2.28874,97.088,12.9379,-2.23098,-3.05424,60.9142,5.93186,-2.16843,-2.92915,26.2751,9.51073
283820,742,1309693725,13.572,1.5569,-1.03295,33.6241,3.81857,1.35161,-1.03066,7.8717,3.21372,1.60026,-1.07302,8.28594,22.1274
283820,742,1310296801,11.2916,0.362174,1.98652,12.0408,8.27242,0.300384,1.87829,8.6491,4.45911,0.0878599,1.70666,4.47758,92.0878
283820,742,1308749841,8.33076,1.52866,-1.34965,20.1141,3.91041,1.69404,-1.37448,10.9989,3.86588,1.38567,-0.97991,8.21115,57.5647
283820,742,1308664382,8.5254,1.72828,-0.456259,24.7605,5.55627,1.87601,-0.56516,18.56,3.45799,1.77675,0.00935526,10.5125,41.037
283820,742,1309825469,5.2564,2.27032,1.13172,25.7191,3.04545,1.93283,1.0119,10.7415,2.48328,1.77968,0.535254,7.57059,46.6868
283820,742,1310000390,7.90177,-1.91334,-0.935283,27.3533,3.36129,-1.98418,-0.818359,12.455,3.21703,-1.92719,-0.892659,11.2854,2.54686
283820,743,1311281149,9.0961,2.16046,-2.07299,39.9794,3.55967,2.24429,-2.27291,16.9794,2.55257,2.16939,-2.03674,11.3176,1.75514
283820,743,1311801514,7.91995,1.02519,3.12733,12.4599,5.46617,0.920289,-2.99242,7.94966,3.23178,1.20695,2.99442,5.88662,45.217
283820,743,1311404155,9.87152,1.99613,-2.08016,37.0006,6.31841,2.15062,-1.9849,27.506,3.74356,1.88244,-2.15302,12.5821,38.7399
283820,744,1313798553,13.9277,-0.289093,0.688591,14.5141,7.42327,-0.0437172,0.305033,7.43112,4.62412,-0.270341,0.242358,4.79529,3523.2
283820,744,1312262117,6.15818,-0.934227,-1.47175,9.04741,4.5591,-0.824364,-1.25202,6.19886,3.69929,-0.799577,-2.01159,4.9473,1.61284
283820,744,1313597781,9.3554,-0.456919,-1.1721,10.3496,8.53093,-0.464684,-1.30801,9.46926,3.99805,-0.468221,-1.38003,4.44562,1.07608
283820,744,1313754340,11.322,-1.28334,-3.06541,21.9976,4.36604,-1.26924,2.99851,8.38174,3.96782,-1.25172,-3.13225,7.50464,9.76741
283820,744,1312470906,9.21669,1.87085,2.0289,30.6357,4.54614,1.97451,1.85812,16.689,3.33167,1.89761,2.08304,11.3612,0.172115
283820,744,1313974129,7.65471,0.181443,2.55674,7.78177,7.14639,-0.334097,2.39408,7.5497,4.96153,0.200585,2.80959,5.06278,405.765
283820,744,1312481656,6.45369,-1.83828,-2.84219,20.7966,5.02667,-2.0791,-2.86216,20.4143,4.71507,-1.47817,-3.00748,10.8758,278.623
283820,744,1313913355,9.97184,-0.634878,0.423651,12.0504,7.09157,-0.692127,0.254172,8.85967,4.37311,-0.930873,0.53245,6.40952,269.14
283820,744,1312530263,14.7626,-0.296534,2.51672,15.4168,14.4415,-0.256916,2.55334,14.9211,5.61918,-0.479357,2.29637,6.27813,9.55293
283820,745,1315810217,6.55796,1.56383,-1.75549,16.3508,3.57389,1.32369,-1.85089,7.1904,2.71258,1.99939,-2.13894,10.1998,53.292
